status	path	bucket_match	commit_role	bucket_match_proof	safe_action
??	proof_packs/DOCTRINE_RESOLUTION_PROOF_PACKS_2026-03-07_1225_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/FINAL_LOCAL_PROD_STABLE_INSTALL_2026-03-07_1600_757ae4d4c9/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/FINAL_SEAL_EXECUTION_2026-03-07_1239_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/GOVERNED_IDLE_CHARTER_2026-03-07_0830_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/HYGIENE_RERUN_KEEP_UNTRACKED_2026-03-07_1233_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/IDLE_REENTRY_AFTER_TRIGGER_REJECTION_2026-03-07_0844_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/NEXT_CYCLE_ENTRY_GATE_2026-03-07_1254_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/OMEGA_DORMANT_MASTER_TEMPLATE_2026-03-07_0850_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/POST_MERGE_VALIDATION_2026-03-07_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/POST_SEAL_BASELINE_CANONIZATION_2026-03-07_1245_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/PROD_ARTIFACT_ALIGNMENT_2026-03-07_1457_757ae4d4c9/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/PROD_BUILD_DEPLOY_2026-03-07_1407_757ae4d4c9/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/PROD_BUILD_DEPLOY_RETRY_2026-03-07_1417_757ae4d4c9/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/PROD_IDLE_GUARD_2026-03-07_1554_757ae4d4c9/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/PROD_PASS_CANONIZATION_2026-03-07_1519_757ae4d4c9/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/PR_CI_UNBLOCK_2026-03-06_1847_5a48aa005/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/PR_MAIN_SEAL_READINESS_2026-03-06_1752_5a48aa005/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/SEAL_READINESS_2026-03-07_1309_0af062e88/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/SENTINEL_STANDBY_MODE_2026-03-07_1305_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/TERMINAL_IDLE_ARCHIVE_2026-03-07_0855_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/TREE_CLOSURE_2026-03-07_1321_0af062e88/	MATCHES_BUCKET_EXACTLY	PROOFPACK_BUCKET	explicit_in_NEXT_ACTION_bucket_A	STAGE_NOW
??	proof_packs/TRUTH_HEAL_MAPS_2026-03-07_1249_0af062e88/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/UI_E2E_TOTAL_2026-03-06_1646_5a48aa005/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/WAKE_PROTOCOL_READY_STATE_2026-03-07_0815_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	proof_packs/WORKSPACE_HYGIENE_AND_SEAL_2026-03-07_0711_757ae4d4c/	EXPLICITLY_EXCLUDED	PROOFPACK_BUCKET	outside_bucket_A_sequence	EXCLUDE
??	registry/closure-events.jsonl	MATCHES_BUCKET_EXACTLY	REGISTRY_BUCKET	explicit_in_NEXT_ACTION_bucket_A	STAGE_NOW
??	registry/heavy-artifacts-manifest.jsonl	MATCHES_BUCKET_EXACTLY	REGISTRY_BUCKET	explicit_in_NEXT_ACTION_bucket_A	STAGE_NOW
??	registry/proofpack-index.jsonl	MATCHES_BUCKET_EXACTLY	REGISTRY_BUCKET	explicit_in_NEXT_ACTION_bucket_A	STAGE_NOW
