path,ring,role,authority,read_write,runtime_consumed,test_covered
"_archive/proof_packs_2026-03-26/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/02_MEMORY_INJECTION_CHAIN.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/03_LTM_FULL_CONTENT_RECALL_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/04_MEMORY_CONTEXT_COMPILER_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/05_MEMORY_CONSUMPTION_PROOF_CHAIN.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/06_GATES_REPORT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/07_DIFF_FILES.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/08_ROLLBACK.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/09_VERDICT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/00_EXEC_SUMMARY.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/01_BOOTSTRAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/03_MEMORY_SURFACE_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/04_MEMORY_CHAIN_MATRIX.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/05_MEMORY_COMMAND_TRUTH.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/06_CONTRACT_VALIDATION.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/07_RUNTIME_ERROR_CAPTURE.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/08_GATES_REPORT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/09_DIFF_FILES.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/10_ROLLBACK.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/11_VERDICT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/00_EXEC_SUMMARY.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/01_POSTFIX_SCOPE.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/02_BACKUP_COVERAGE_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/03_MEMORY_RESTORE_CHAIN.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/04_RUST_LTM_BACKUP_PATH_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/05_CROSS_SESSION_RESTORE_PROOF_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/06_GATES_REPORT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/07_DIFF_FILES.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/08_ROLLBACK.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/09_VERDICT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/00_EXEC_SUMMARY.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/01_BOOTSTRAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/02_MEMORY_AUTHORITY_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/03_STM_MTM_LTM_FLOW_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/04_MEMORY_PERSISTENCE_CHAIN.md","cross-ring","memory-related","legacy/risk","read/write candidate","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/05_MEMORY_CONSUMPTION_PROOF_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/06_MEMORY_RISK_MATRIX.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/07_TEST_PLAN.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","is-test"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/08_GATES_REPORT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/09_DIFF_FILES.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/10_ROLLBACK.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/11_VERDICT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_2026-03-26/POST_SEAL_CORRECTION_2026-03-21_1228_9b50cc67e/MEMORY_CONSUMPTION_TRUTH.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/00_EXEC_SUMMARY.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/01_POSTFIX_SCOPE.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/02_MEMORY_INJECTION_CHAIN.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/03_LTM_FULL_CONTENT_RECALL_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/04_MEMORY_CONTEXT_COMPILER_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/05_MEMORY_CONSUMPTION_PROOF_CHAIN.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/06_GATES_REPORT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/07_DIFF_FILES.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/08_ROLLBACK.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_INJECTION_CLOSURE_2026-03-20_2229_69c1c948f/09_VERDICT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/00_EXEC_SUMMARY.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/01_BOOTSTRAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/03_MEMORY_SURFACE_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/04_MEMORY_CHAIN_MATRIX.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/05_MEMORY_COMMAND_TRUTH.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/06_CONTRACT_VALIDATION.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/07_RUNTIME_ERROR_CAPTURE.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/08_GATES_REPORT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/09_DIFF_FILES.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/10_ROLLBACK.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_PAGE_RUNTIME_HEAL_2026-03-18_0021_0ea87b257/11_VERDICT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/00_EXEC_SUMMARY.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/01_POSTFIX_SCOPE.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/02_BACKUP_COVERAGE_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/03_MEMORY_RESTORE_CHAIN.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/04_RUST_LTM_BACKUP_PATH_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/05_CROSS_SESSION_RESTORE_PROOF_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/06_GATES_REPORT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/07_DIFF_FILES.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/08_ROLLBACK.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_RESTORE_CLOSURE_2026-03-20_2247_61df44d0b/09_VERDICT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/00_EXEC_SUMMARY.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/01_BOOTSTRAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/02_MEMORY_AUTHORITY_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/03_STM_MTM_LTM_FLOW_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/04_MEMORY_PERSISTENCE_CHAIN.md","cross-ring","memory-related","legacy/risk","read/write candidate","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/05_MEMORY_CONSUMPTION_PROOF_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/06_MEMORY_RISK_MATRIX.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/07_TEST_PLAN.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","is-test"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/08_GATES_REPORT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/09_DIFF_FILES.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/10_ROLLBACK.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/MEMORY_SEALING_STM_MTM_LTM_2026-03-20_2214_ce2cbecac/11_VERDICT.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/proof_packs_pre_v30/POST_SEAL_CORRECTION_2026-03-21_1228_9b50cc67e/MEMORY_CONSUMPTION_TRUTH.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"_archive/root_reports_2026-03-26/MEMORY_TRUTH_MAP.md","cross-ring","memory-related","legacy/risk","read/metadata","risk","needs cross-ref"
"artifacts/ui-visual/screenshots/v78/production/memory-viewport.png","cross-ring","memory-related","unknown","read/metadata","no/unknown","needs cross-ref"
"artifacts/ui-visual/screenshots/v78/production/memory.png","cross-ring","memory-related","unknown","read/metadata","no/unknown","needs cross-ref"
"artifacts/ui-visual/screenshots/v79/production/memory-viewport.png","cross-ring","memory-related","unknown","read/metadata","no/unknown","needs cross-ref"
"artifacts/ui-visual/screenshots/v79/production/memory.png","cross-ring","memory-related","unknown","read/metadata","no/unknown","needs cross-ref"
"data/knowledge_base/default/identity_profile.json","data/runtime","default knowledge/profile","runtime-data","read/metadata","yes/candidate","needs cross-ref"
"data/knowledge_base/default/kevin_owner_profile_v30.json","data/runtime","default knowledge/profile","runtime-data","read/metadata","yes/candidate","needs cross-ref"
"data/knowledge_base/default/memory_os_detail.json","data/runtime","backend memory engine","runtime-data","read/metadata","yes/candidate","needs cross-ref"
"data/knowledge_base/default/memory_system_deep.json","data/runtime","default knowledge/profile","runtime-data","read/metadata","yes/candidate","needs cross-ref"
"docs/01_misc/MEMORY_COMMANDS_AUDIT_v26.3.5.md","governance/test","memory documentation","governance-doc","read/write candidate","no/unknown","needs cross-ref"
"docs/01_misc/MEMORY_COMMANDS_FIX_SUMMARY.md","governance/test","memory documentation","governance-doc","read/write candidate","no/unknown","needs cross-ref"
"docs/04_guides/features/MEMORY_OS.md","governance/test","backend memory engine","governance-doc","read/metadata","no/unknown","needs cross-ref"
"docs/05_modules/backend/UNIFIED_MEMORY.md","governance/test","memory documentation","governance-doc","read/metadata","no/unknown","needs cross-ref"
"docs/05_modules/frontend/UNIFIED_MEMORY_FRONTEND.md","governance/test","memory documentation","governance-doc","read/metadata","no/unknown","needs cross-ref"
"docs/99_ARCHIVE/archive_legacy/root/MEMORY_COMMANDS_AUDIT_v26.3.5.md","governance/test","memory documentation","legacy/risk","read/write candidate","risk","needs cross-ref"
"docs/99_ARCHIVE/archive_legacy/root/MEMORY_COMMANDS_FIX_SUMMARY.md","governance/test","memory documentation","legacy/risk","read/write candidate","risk","needs cross-ref"
"docs/99_ARCHIVE/archive_legacy/sessions/UNIFIED_MEMORY_GUIDE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/archive_legacy/v24/DEEP_ANALYSIS_MEMORY_LEAKS_v24.3.4.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/complete-reports/MEMORY_MIGRATION_GUIDE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/complete-reports/MEMORY_MIGRATION_v24.2_PHASE2.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/complete-reports/MEMORY_PHASE2_COMPLETE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/complete-reports/MEMORY_PHASE2_PROGRESS_REPORT.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/implementations/MEMORY_INTEGRATION_R04_COMPLETE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/legacy_reports/MEMORY_PERSISTENCE_FIX_v19.5.2.txt","governance/test","memory documentation","legacy/risk","read/write candidate","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/MEMORYCORE_COMPLETE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/MEMORYCORE_GENERATION_REPORT.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/MEMORYCORE_STATUS.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/MEMORYCORE_USAGE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/MEMORYCORE_V2_COMPLETE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_122526/DEEP_ANALYSIS_MEMORY_LEAKS_v24.3.4.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_122526/PHASE_2_VISION_MEMORY_COMPLETE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_122526/UNIFIED_MEMORY_GUIDE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_122540/DEEP_ANALYSIS_MEMORY_LEAKS_v24.3.4.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_122540/PHASE_2_VISION_MEMORY_COMPLETE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_122540/UNIFIED_MEMORY_GUIDE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_123316/DEEP_ANALYSIS_MEMORY_LEAKS_v24.3.4.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_123316/PHASE_2_VISION_MEMORY_COMPLETE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/obsolete/repo_cleanup_2026-05-03/docs_backup_20251218_123316/UNIFIED_MEMORY_GUIDE.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
"docs/99_ARCHIVE/old_sessions/2025-12-10/PHASE_4.4_MEMORY_LEAK_DETECTION_REPORT.md","governance/test","memory documentation","legacy/risk","read/metadata","risk","needs cross-ref"
