command	file	line
get_timeline	src/tests/regression/titane_regression.test.ts	78
get_timeline	src/tests/regression/titane_regression.test.ts	182
get_timeline	src/tests/regression/titane_regression.test.ts	283
identity_set_matrix	src/core/identity/defaultIdentityMatrix.ts	321
log_entries	src/utils/logging/structuredLogger.ts	278
log_to_file	src/lib/logger.ts	285
memory_clear	src/hooks/useMemoryCore.ts	113
memory_get_active_projects	src/services/api/index.ts	103
memory_get_active_projects	src/services/api/index.ts	136
memory_get_active_projects	src/tests/e2e/titane_e2e.test.ts	535
memory_get_stats	src/tests/e2e/titane_e2e.test.ts	168
memory_get_stats	src/tests/regression/titane_regression.test.ts	70
memory_get_stats	src/tests/regression/titane_regression.test.ts	153
memory_save_chat_interaction	src/tests/e2e/titane_e2e.test.ts	154
memory_save_chat_interaction	src/tests/e2e/titane_e2e.test.ts	522
memory_scan	src/modules/devSudo/devSudoBackendHandlers.ts	125
memory_store	src/tests/e2e/titane_e2e.test.ts	371
meta_get_alignment	src/tests/e2e/titane_e2e.test.ts	442
meta_get_alignment	src/tests/regression/titane_regression.test.ts	500
meta_get_monitoring_metrics	src/tests/e2e/titane_e2e.test.ts	478
meta_get_report	src/tests/e2e/titane_e2e.test.ts	451
meta_get_state	src/tests/e2e/titane_e2e.test.ts	424
meta_get_state	src/tests/regression/titane_regression.test.ts	76
meta_get_state	src/tests/regression/titane_regression.test.ts	484
meta_get_state	src/tests/regression/titane_regression.test.ts	486
meta_selftest_all	src/tests/e2e/titane_e2e.test.ts	469
meta_trigger_sync	src/tests/e2e/titane_e2e.test.ts	433
meta_trigger_sync	src/tests/e2e/titane_e2e.test.ts	568
meta_trigger_sync	src/tests/regression/titane_regression.test.ts	485
parse_document	src/tests/e2e/titane_e2e.test.ts	244
parse_document	src/tests/e2e/titane_e2e.test.ts	544
parse_document	src/tests/regression/titane_regression.test.ts	256
performance_compress_memory	src/__tests__/singularity-fusion-integration.test.ts	172
performance_get_metrics	src/__tests__/e2e-automated-validation.test.tsx	2065
performance_get_metrics	src/__tests__/e2e-automated-validation.test.tsx	2101
performance_get_metrics	src/__tests__/e2e-automated-validation.test.tsx	2118
performance_get_metrics	src/__tests__/e2e-automated-validation.test.tsx	2168
performance_get_metrics	src/__tests__/e2e-automated-validation.test.tsx	2182
performance_get_metrics	src/__tests__/e2e-automated-validation.test.tsx	2208
performance_get_metrics	src/__tests__/singularity-fusion-integration.test.ts	155
performance_get_metrics	src/__tests__/singularity-fusion-integration.test.ts	219
performance_get_metrics	src/__tests__/singularity-fusion-integration.test.ts	245
performance_get_metrics	src/__tests__/singularity-fusion-mocked.test.ts	158
performance_get_metrics	src/__tests__/singularity-fusion-mocked.test.ts	195
performance_get_metrics	src/__tests__/singularity-fusion-mocked.test.ts	208
performance_optimize_gpu	src/__tests__/singularity-fusion-integration.test.ts	168
performance_reset_optimizations	src/__tests__/singularity-fusion-integration.test.ts	261
performance_throttle_cpu	src/__tests__/singularity-fusion-integration.test.ts	164
persona_get_multipliers	src/services/api/index.ts	148
ping	src/os/bridge/TauriBridge.ts	32
ping	src/os/bridge/TauriBridge.ts	172
pipeline_analyze_intention	src/__tests__/e2e-automated-validation.test.tsx	1964
pipeline_analyze_intention	src/__tests__/e2e-automated-validation.test.tsx	2081
pipeline_analyze_intention	src/__tests__/singularity-fusion-integration.test.ts	62
pipeline_analyze_intention	src/__tests__/singularity-fusion-integration.test.ts	196
pipeline_analyze_intention	src/__tests__/singularity-fusion-mocked.test.ts	114
pipeline_analyze_intention	src/__tests__/singularity-fusion-mocked.test.ts	182
pipeline_generate_cognitive_response	src/__tests__/e2e-automated-validation.test.tsx	1968
pipeline_generate_cognitive_response	src/__tests__/e2e-automated-validation.test.tsx	2085
pipeline_generate_cognitive_response	src/__tests__/singularity-fusion-integration.test.ts	71
pipeline_generate_cognitive_response	src/__tests__/singularity-fusion-integration.test.ts	202
pipeline_generate_cognitive_response	src/__tests__/singularity-fusion-mocked.test.ts	126
pipeline_generate_cognitive_response	src/__tests__/singularity-fusion-mocked.test.ts	188
pipeline_get_stats	src/__tests__/e2e-automated-validation.test.tsx	2119
pipeline_get_stats	src/__tests__/e2e-automated-validation.test.tsx	2204
pipeline_get_stats	src/__tests__/singularity-fusion-integration.test.ts	90
pipeline_prepare_avatar_animation	src/__tests__/e2e-automated-validation.test.tsx	2044
pipeline_prepare_tts	src/__tests__/e2e-automated-validation.test.tsx	2040
pipeline_prepare_tts	src/__tests__/singularity-fusion-integration.test.ts	81
pipeline_prepare_tts	src/__tests__/singularity-fusion-integration.test.ts	209
pipeline_validate	src/__tests__/singularity-fusion-integration.test.ts	97
plugin:screenshots|capture	src/hooks/useDevicePermissions.ts	267
presence:activate_mirroring	src/hooks/useMultimodalPresence.ts	286
presence:deactivate_mirroring	src/hooks/useMultimodalPresence.ts	297
read_json_file	src/core/devops/LocalAgentEngine.ts	972
report_chat_error	src/components/ChatErrorBoundary.tsx	358
secure_list_files	src/tests/e2e/titane_e2e.test.ts	231
secure_store_key	src/modules/devSudo/devSudoBackendHandlers.ts	126
set_state	src/os/bridge/StateBridge.ts	84
set_state	src/os/bridge/StateBridge.ts	225
singularity_check_coherence	src/tests/e2e/titane_e2e.test.ts	460
singularity_check_integrity	src/__tests__/e2e-automated-validation.test.tsx	2022
singularity_check_integrity	src/__tests__/e2e-automated-validation.test.tsx	2155
singularity_check_integrity	src/__tests__/e2e-automated-validation.test.tsx	2167
singularity_check_integrity	src/__tests__/singularity-fusion-integration.test.ts	31
singularity_check_integrity	src/__tests__/singularity-fusion-integration.test.ts	215
singularity_check_integrity	src/__tests__/singularity-fusion-integration.test.ts	236
singularity_check_integrity	src/__tests__/singularity-fusion-integration.test.ts	244
singularity_check_integrity	src/__tests__/singularity-fusion-mocked.test.ts	104
singularity_check_integrity	src/__tests__/singularity-fusion-mocked.test.ts	207
singularity_create_snapshot	src/__tests__/singularity-fusion-integration.test.ts	38
singularity_create_snapshot	src/__tests__/singularity-fusion-integration.test.ts	274
singularity_get_diagnostics	src/__tests__/singularity-fusion-integration.test.ts	53
singularity_get_full_state	src/tests/e2e/titane_e2e.test.ts	127
singularity_get_full_state	src/tests/e2e/titane_e2e.test.ts	576
singularity_get_full_state	src/tests/regression/titane_regression.test.ts	72
singularity_get_full_state	src/tests/regression/titane_regression.test.ts	216
singularity_get_full_state	src/tests/regression/titane_regression.test.ts	420
singularity_get_fusion_state	src/__tests__/e2e-automated-validation.test.tsx	2064
singularity_get_fusion_state	src/__tests__/e2e-automated-validation.test.tsx	2117
singularity_get_fusion_state	src/__tests__/e2e-automated-validation.test.tsx	2166
singularity_get_fusion_state	src/__tests__/singularity-fusion-integration.test.ts	16
singularity_get_fusion_state	src/__tests__/singularity-fusion-integration.test.ts	249
singularity_get_fusion_state	src/__tests__/singularity-fusion-integration.test.ts	264
singularity_get_fusion_state	src/__tests__/singularity-fusion-integration.test.ts	272
singularity_get_fusion_state	src/__tests__/singularity-fusion-integration.test.ts	286
singularity_get_fusion_state	src/__tests__/singularity-fusion-mocked.test.ts	83
singularity_get_fusion_state	src/__tests__/singularity-fusion-mocked.test.ts	206
singularity_get_global_coherence	src/tests/e2e/titane_e2e.test.ts	193
singularity_get_global_coherence	src/tests/e2e/titane_e2e.test.ts	585
singularity_get_global_coherence	src/tests/regression/titane_regression.test.ts	421
singularity_get_metrics	src/__tests__/singularity-fusion-integration.test.ts	46
singularity_perform_sync	src/__tests__/singularity-fusion-integration.test.ts	24
singularity_perform_sync	src/__tests__/singularity-fusion-integration.test.ts	243
singularity_perform_sync	src/__tests__/singularity-fusion-integration.test.ts	280
singularity_perform_sync	src/__tests__/singularity-fusion-mocked.test.ts	95
singularity_reset	src/__tests__/singularity-fusion-integration.test.ts	258
singularity_restore_snapshot	src/__tests__/singularity-fusion-integration.test.ts	283
speak	src/services/api/index.ts	144
store_file	src/tests/e2e/titane_e2e.test.ts	270
sync_evolution_state	src/services/evolutionEngine/index.ts	254
system_get_status	src/services/api/index.ts	152
titan_state_get	src/modules/devSudo/devSudoBuiltins.ts	387
watchdog:report_ui_error	src/components/ErrorBoundary.tsx	85
write_snapshot	src/tests/e2e/titane_e2e.test.ts	555
